Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/custom
0/20,0/20,50,2500,52.309550762176514,,,,0.0
0/20,1/20,100,5000,63.591931104660034,,,,0.0
0/20,2/20,150,7500,69.7285270690918,,,,0.0
0/20,3/20,200,10000,70.52943706512451,5.4852053970098495,0.1881126188673079,4.045428290963173,0.0
0/20,4/20,250,12500,166.8788480758667,524.2741724997759,5.355181721737608,26.256105195730925,0.0
0/20,5/20,300,15000,166.37218618392944,978.8210014104843,33.12892195768654,27.61046946235001,0.0
